MATNR,MAKTX,MEINS,WERKS,MAP,LABST
GAIL002481,RANKEM - CHEMICAL - SODIUM CHLORIDE - TECH GRADE - 70 PCT - RAN-CH00559,PC,VIJAIPUR,4354.03,658
GAIL002153,HONEYWELL - HELMET - SAFETY - CLASS E - HDPE - RATCHET - 2-POINT - VENTED - PEAK - EN397 - YELLOW - HON-HL00199 - EAN 8900082272062,PC,PATA,448.80,278
GAIL002097,FISHER - CHEMICAL - OXALIC ACID - AR GRADE - 99 PCT - FIS-CH00718 - GTIN 8904682649583,PC,PATA,4400.68,684
GAIL002330,LT - VALVE - GATE - 150NB - CLASS 900 - WCB - THREADED - 153.2 BAR - 200 C - LT-GV01452,PC,PATA,222295.18,195
GAIL001400,FLEXITALLIC - GASKET - SPIRAL WOUND - 100NB - CLASS 300 - CAF - 3.0MM THK - 550 C,PC,PATA,970.43,399
GAIL000829,MERCK - CHEMICAL - BORIC ACID - GR GRADE - 99 PCT,PC,PATA,2033.06,234
GAIL000641,ISMT - PIPE - SEAMLESS - 100NB - XS - SS304 - 20.0 BAR - ISM-SP00204,PC,PATA,1187.24,786
GAIL002119,KEI - CABLE - POWER - 4C X 50.0 SQMM - ALUMINIUM - PVC - 3300V - 90 C,PC,VIJAIPUR,2262.65,365
GAIL002033,KARAM - HELMET - SAFETY - CLASS E - HDPE - PINLOCK - 4-POINT - VENTED - PEAK - IS2925 - WHITE - KAR-HL00267 - BARCODE 8908966145495,PC,VIJAIPUR,468.35,392
GAIL002150,SKF - EARING - BALL - 25MM BORE - 62MM OD - 17MM W - OPEN - 1200 KG - 100 C,PC,PATA,507.95,248
GAIL000096,TVS - BOLT - HEX - M12X1.75 - 150MM LG - GRADE 12.9 - CS - HDG - TVS-HB00363,PC,VIJAIPUR,78.46,105
GAIL001843,KITZ - VAVLE - GATE - 80NB - CLASS 300 - CI - SOCKETWELD - 51.1 BAR - 200 C - KIT-GV02205,PC,PATA,28062.19,337
GAIL000099,FINOLEX - CABLE - POWER - 2C X 10.0 SQMM - COPPER - PVC - 1100V - 70 C - FIN-PW00281,PC,VIJAIPUR,186.91,369
GAIL002498,HAVELLS - CABLE - POWER - 3C X 150.0 SQMM - ALUMINIUM - XLPE - 3300V - 90 C - HAV-PW01817 - GTIN 8900319653602,PC,PATA,10281.13,432
GAIL000391,TATA - PIPE - SEAMLESS - 40NB - SCH80 - SS316 - 60.0 BAR - TAT-SP00662,PC,PATA,725.24,546
GAIL001555,BDK - वाल्व - GATE - 50NB - CLASS 900 - CI - BUTTWELD - 153.2 BAR - 200 C,PC,VIJAIPUR,62441.76,770
GAIL001584,RANKEM - CHEMICAL - POTASSIUM PERMANGANATE - LR GRADE - 99 PCT,PC,VIJAIPUR,4368.20,757
GAIL002459,TATA - PIPE - SEAMLESS - 150NB - SCH40 - CS-A106B - 100.0 BAR - TAT-SP00864 - GTIN 8907337741878,PC,VIJAIPUR,2815.71,790
GAIL002723,TATA - PIPE - SEAMLESS - 20NB - SCH20 - SS316 - 160.0 BAR - TAT-SP01191 - 8907815892535,PC,VIJAIPUR,277.73,302
GAIL001561,NTN - BEARING - BALL - 60MM BORE - 130MM OD - 31MM W - 2RS - 2880 KG - 120 C - 6312-2RS/X120,PC,PATA,1311.52,796
GAIL000183,SKF - BEARING - BALL - 6315 - POEN - 2400 KG - 100 C - 6315/H100,PC,VIJAIPUR,1781.91,591
GAIL002883,SKF - BEARING - BALL - 35MM BORE - 80MM OD - 21MM W - 2RS - 700 KG - 100 C - 6307-2RS/S100,PC,VIJAIPUR,648.57,542
GAIL001313,KITZ - VALVE - GATE - 50NB - CLASS 900 - SS304 - THREADED - 153.2 BAR - 400 C,PC,VIJAIPUR,79582.72,607
GAIL001337,VENUS - हेलमेट - SAFETY - CLASS A - HDPE - RATCHET - 2-POINT - VENTED - FULL BRIM - EN397 - ORANGE,PC,VIJAIPUR,373.77,791
GAIL000182,POLYCAB - CABLE - POWER - 2C X 70.0 SQMM - ALUMINIUM - XLPE - 3300V - 70 C,PC,PATA,2744.08,522
GAIL001292,AUDCO - VALVE - GATE - 125NB - CLASS 300 - SS304 - FLANGED - 51.1 BAR - 150 C - AUD-GV00191,PC,PATA,66765.63,675
GAIL001183,APL - BOLT - HEX - M24X3.0 - 150MM LG - GRADE 109 - CS - ZINC - APL-HB00270 - EAN 8902799528135,PC,PATA,333.83,43
GAIL000758,VENUS - HELMET - SAFETY - CLASS E - ABS - PINLOCK - 4-POINT - NON-VENTED - PEAK - IS2925 - BLUE,PC,PATA,928.90,473
GAIL001763,KARAM - HELMET - SAFETY - CLASS E - FRP - RATCHET - 4-POINT - VENTED - FULL BRIM - EN397 - YELLOW - 8908106641016,PC,PATA,241.62,558
GAIL002365,FLOWSERVE - VALVE - GATE - 15NB - CLASS 900 - SS304 - THREADED - 153.2 BAR - 250 C,PC,PATA,18482.06,413
GAIL002878,SKF - BEARING - BALL - 6004 - OPEN - 960 KG - 100 C,PC,PATA,612.63,443
GAIL000413,HAVELLS - CABLE - POWER - 5C X 70.0 SQMM - ALUMINIUM - PVC - 3300V - 90 C - HAVPW01674,PC,PATA,5620.93,92
GAIL002224,HONEYWELL - HELMET - SAFETY - CLASS C - HDPE - RATCHET - 4-POINT - NON-VENTED - PEAK - EN397 - BLUE,PC,PATA,485.83,170
GAIL000047,TVS - BOLT - HEX - M16X2.0 - 80MM LG - GRADE 12.9 - SS316 - HDG - TVS-HB00724,PC,VIJAIPUR,65.27,38
GAIL000021,NTN - BEARING - BALL - 90MM BORE - 160MM OD - 30MM W - OPEN - 2880 KG - 100 C - 6218/H100,PC,VIJAIPUR,2777.84,28
GAIL000201,UNBRAKO - BOLT - HEX - M12X1.75 - 150MM LG - GRADE 12.9 - SS316 - HDG - UNB-HB00747,PC,PATA,36.18,246
GAIL002730,NTN - BEARING - BALL - 6014 - 2RS - 2240 KG - 150 C - 6014-2RS/H150,PC,PATA,1692.93,293
GAIL001670,RANKEM - CHEMICAL - SODIUM SULPHATE - AR GRADE - 10 PCT - RAN-CH00042,PC,PATA,2725.83,317
GAIL002728,VENUS - HELMET - SAFETY - CLASS E - ABS - PINLOCK - 2-POINT - VENTED - FULL BRIM - IS2925 - ORANGE - VEN-HL00035,PC,VIJAIPUR,390.61,267
GAIL001476,ISMT - PIPE - SEAMLESS - 150NB - SC80 - SS304 - 40.0 BAR - ISM-SP00458,PC,PATA,1420.46,127
GAIL002085,"UNBRAKO - BOLT - HEX - M6X1.0 - 80MM LG - GRADE 12.9 - SS304 - HDG - EAN 8909795020212, BOX OF 100",BOX,PATA,3007.00,519
GAIL000331,LEADER - GASKET - SPIRAL WOUND - 250NB - CLASS 600 - SS316-PTFE - 4.5MM THK - 650 C - LEA-SW02168,PC,VIJAIPUR,1826.10,430
GAIL000779,TVS - BOLT - HEX - M10X1.5 - 50MM LG - GRADE 4.6 - SS304 - PLAIN - TVS-HB00802,PC,VIJAIPUR,28.20,741
GAIL002734,TVS - BOLT - HEX - M8X1.25 - 30MM LG - GRADE 10.9 - SS304 - HDG - TVS-HB00977 - 8904786042815,PC,PATA,15.52,255
GAIL002129,KEI - CABLE - POWER - 1C X 50.0 SQMM - ALUMINIUM - PVC - 3300V - 90 C,PC,VIJAIPUR,908.81,772
GAIL001595,LT - VLVE - GATE - 25NB - CLASS 150 - CI - FLANGED - 19.6 BAR - 200 C,PC,VIJAIPUR,4640.21,376
GAIL000371,POLYCAB - CABLE - POWER - 1C X 50.0 SQMM - COPPER - XLPE - 11000V - 70 C,PC,VIJAIPUR,942.00,453
GAIL001802,KITZ - VALVE - GATE - 300NB - CLASS 600 - SS316 - SOCKETWELD - 102.1 BAR - 150 C - KIT-GV00993,PC,PATA,173020.64,669
GAIL000535,BDK - VALVE - GATE - 50NB - CLASS 600 - SS304 - BUTTWELD - 102.1 BAR - 150 C - BDK-GV00761,PC,VIJAIPUR,34018.59,690
GAIL000173,MSL - PIPE - SEAMLESS - 50NB - SCH160 - SS316 - 60.0 BAR,PC,PATA,889.06,318
GAIL000622,KEI - CABLE - POWER - 2C X 120.0 SQMM - COPPER - XLPE - 11000V - 70 C,PC,VIJAIPUR,2821.99,217
GAIL001578,VENUS - HELMET - SAFETY - CLASS E - HDPE - RATCHET - 2-POINT - NON-VENTED - FULL BRIM - IS2925 - GREEN,PC,VIJAIPUR,463.13,232
GAIL000729,TATA - PIPE - SEAMLESS - 150NB - SCH80 - SS316 - 160.0 BAR - TAT-SP01228,PC,VIJAIPUR,1338.73,641
GAIL002653,HAVELLS - CABLE - POWER - 2C X 35.0 SQMM - ALUMINIUM - PVC - 650V - 70 C - HAV-PW00101,PC,VIJAIPUR,756.57,302
GAIL001353,APL - BOLT - HEX - M20X2.5 - 40MM LG - GRADE 4.6 - SS316 - HDG - APL-HB00413,PC,VIJAIPUR,41.57,602
GAIL001639,APL - BOLT - HEX - M8X1.25 - 200MM LG - GRADE 12.9 - SS316 - HDG - APLHB00761,PC,VIJAIPUR,134.61,443
GAIL000120,KITZ - VAVLE - GATE - 150NB - CLASS 600 - SS304 - THREADED - 102.1 BAR - 400 C - KITGV03846 - 8907454026704,PC,VIJAIPUR,129797.89,124
GAIL001082,SUNDRAM - बोल्ट - HEX - M30X3.5 - 150MM LG - GRADE 4.6 - CS - HDG,PC,VIJAIPUR,361.43,698
GAIL000040,TATA - पाइप - SEAMLESS - 125NB - SCH20 - CS-A106B - 160.0 BAR - TAT-SP01129,PC,VIJAIPUR,1264.97,606
GAIL001128,MERCK - CHEMICAL - CALCIUM CHLORIDE - TECH GRADE - 85 PCT - MER-CH00654,PC,PATA,2152.00,578
GAIL000648,CHAMPION - GASKET - SPIRAL WOUND - 25NB - CLASS 600 - CAF - 4.5MM THK - 550 C - CHA-SW01318,PC,VIJAIPUR,163.42,333
GAIL000923,THERMO - CHEMICAL - HEXANE - LR GRADE - 50 PCT - THE-CH00400,PC,PATA,1011.03,283
GAIL001811,ISMT - पाइप - SEAMLESS - 300NB - SCH20 - CS-A106B - 20.0 BAR,PC,PATA,4084.82,343
GAIL002249,JINDAL - PIPE - SEAMLESS - 25NB - SCH80 - CS-A53 - 160.0 BAR - JIN-SP01360,PC,VIJAIPUR,372.61,38
GAIL000530,TVS - BOLT - HEX - M30X3.5 - 20MM LG - GRADE 8.8 - CS - PLAIN,PC,PATA,18.66,493
GAIL000968,FLEXITALLIC - GASKET - SPIRAL WOUND - 150NB - CLASS 600 - SS316-GRAPHITE - 4.5MM THK - 650 C,PC,VIJAIPUR,1350.97,237
GAIL002048,RANKEM - CHEMICAL - CALCIUM CHLORIDE - LR GRADE - 40 PCT,PC,VIJAIPUR,1009.44,391
GAIL000432,NTN - BEARING - BALL - 6316 - 2RS - 1600 KG - 120 C - 6316-2RS,PC,PATA,1557.95,325
GAIL002777,VENUS - HELMET - SAFETY - CLASS E - ABS - PINLOCK - 2-POINT - VENTED - FULL BRIM - EN397 - ORANGE,PC,VIJAIPUR,912.35,132
GAIL002494,KITZ - VLAVE - GATE - 150NB - CLASS 900 - WCB - SOCKETWELD - 153.2 BAR - 400 C - KIT-GV04252,PC,PATA,151605.17,252
GAIL002658,MERCK - CHEMICAL - CITRIC ACID - AR GRADE - 10 PCT - MER-CH00045,PC,VIJAIPUR,3197.52,410
GAIL000350,KSB - VALVE - GATE - 150NB - CLASS 900 - WCB - BUTTWELD - 153.2 BAR - 400 C - KSB-GV03972 - BARCODE 8902935141020,PC,VIJAIPUR,191055.53,22
GAIL002898,FAG - BEARING - BALL - 6013 - 2RS - 1300 KG - 120 C - 6013-2RS,PC,PATA,1817.78,399
GAIL000190,VENUS - HELMET - SAFETY - CLASS C - FRP - RATCHET - 2-POINT - NON-VENTED - FULL BRIM - IS2925 - ORANGE,PC,VIJAIPUR,886.82,661
GAIL002845,HAVELLS - CABLE - POWER - 5C X 6.0 SQMM - COPPER - PVC - 3300V - 70 C,PC,PATA,400.41,672
GAIL001704,UNBRAKO - BOLT - HEX - M8X1.25 - 180MM LG - GRADE 8.8 - SS316 - ZINC - UNB-HB00561 - BARCODE 8904547953695,PC,VIJAIPUR,112.19,295
GAIL001218,BDK - VALVE - GATE - 125NB - CCLASS 150 - CI - THREADED - 19.6 BAR - 250 C,PC,PATA,15940.86,210
GAIL002600,APL - BOLT - HEX - M12X1.75 - 120MM LG - GRADE 10.9 - CS - PLAIN - APL-HB00259,PC,VIJAIPUR,103.08,330
GAIL001977,POLYCAB - CABLE - POWER - 5C X 16.0 SQMM - COPPER - XLPE - 650V - 90 C,PC,PATA,681.96,244
GAIL001829,FLEXITALLIC - GASKET - SPIRAL WOUND - 40NB - CLASS 600 - SS304-PTFE - 7.5MMM THK - 550 C - FLE-SW01656,PC,PATA,331.15,170
GAIL000554,KITZ - VALVE - GATE - 20NB - CLASS 600 - CS - BUTTWELD - 102.1 BAR - 250 C - KIT-GV02885,PC,PATA,20514.15,684
GAIL000643,3M - HELMET - SAFETY - CLASS C - ABS - RATCHET - 4-POINT - VENTED - FULL BRIM - EN397 - RED - 3M-HL00062,PC,PATA,755.43,122
GAIL002473,HAVELLS - CABLE - POWER - 1C X 35.0 SQMM - ALUMINIUM - XLPE - 650V - 90 C - BARCODE 8902965517369,PC,PATA,518.88,166
GAIL002400,APL - BOLT - HEX - M12X1.75 - 120MM LG - GRADE 12.9 - SS304 - PLAIN - APL-HB01123,PC,PATA,87.49,400
